,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
446,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
447,Gizo,SB,85.3,light rain,-8.103,156.8419,Imagination Island
449,Sarramea,NC,77.92,overcast clouds,-21.6421,165.8452,Hotel Evasion
450,Sabang,ID,79.45,overcast clouds,5.8933,95.3214,Hotel Citra
453,Rapu-Rapu,PH,81.48,overcast clouds,13.1866,124.1256,Seaview Dormitel
461,Conakry,GN,76.5,clear sky,9.538,-13.6773,Riviera Royal Hotel
466,Batticaloa,LK,81.0,scattered clouds,7.7102,81.6924,Grand Star Guest House
469,Lamu,KE,80.82,overcast clouds,-2.2717,40.902,Lamu House
471,Oranjestad,AW,78.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
473,The Valley,AI,77.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
477,Daru,PG,83.53,overcast clouds,-9.0763,143.2092,Daru Lodge
478,Nha Trang,VN,84.2,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
487,San Policarpo,PH,80.71,broken clouds,12.1791,125.5072,Agapita M. Nicart
488,Neiafu,TO,75.88,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
489,Matara,LK,86.97,light rain,5.9485,80.5353,Amaloh Boutique Resort
494,Honiara,SB,85.23,light rain,-9.4333,159.95,Heritage Park Hotel
506,Gladstone,AU,84.78,scattered clouds,-23.85,151.25,Highpoint International Hotel
516,Camocim,BR,75.4,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
519,Vangaindrano,MG,77.61,light rain,-23.35,47.6,Hotel Fanilo
521,Omboue,GA,76.69,broken clouds,-1.5746,9.2618,Hotel Olako
534,Charters Towers,AU,81.81,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
535,Kavaratti,IN,78.01,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
538,Quatre Cocos,MU,82.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
549,Inhambane,MZ,78.8,overcast clouds,-23.865,35.3833,Oceano
557,Ambulu,ID,86.85,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
559,Luwuk,ID,87.37,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
565,Aracati,BR,78.42,clear sky,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
569,Panalingaan,PH,87.17,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
580,Auki,SB,83.52,overcast clouds,-8.7676,160.7034,Auki Motel
583,Chiang Khong,TH,83.64,overcast clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
586,Moree,AU,86.02,broken clouds,-29.4667,149.85,Molika Springs Motel
588,Davila,PH,81.55,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
590,Vung Tau,VN,82.08,few clouds,10.346,107.0843,Green hotel
597,Le Port,RE,82.4,overcast clouds,-20.9373,55.2919,KORBEY D'OR OUEST
600,Taganak,PH,81.48,overcast clouds,6.0833,118.3,Taganak
604,Thinadhoo,MV,82.63,overcast clouds,0.5333,72.9333,NaN
616,Majene,ID,84.63,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
631,Metro,ID,86.2,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
634,Flic En Flac,MU,82.53,overcast clouds,-20.2742,57.3631,Hilton Mauritius Resort & Spa
639,Tuy Hoa,VN,78.6,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
647,Loandjili,CG,75.96,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
649,Vao,NC,81.32,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
651,Kudahuvadhoo,MV,81.45,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
654,Takoradi,GH,78.66,overcast clouds,4.8845,-1.7554,Raybow International Hotel
659,Samarai,PG,84.31,overcast clouds,-10.6167,150.6667,Nuli Sapi
660,Lucea,JM,76.86,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
661,Buala,SB,85.15,light rain,-8.145,159.5921,Maringe Lagoon Lodge
663,Sainte-Rose,GP,75.18,broken clouds,16.3324,-61.6979,Villa - Duzer
667,Ranau,MY,79.45,overcast clouds,5.9538,116.6641,The Second Room
669,Nam Som,TH,89.1,overcast clouds,17.7704,102.1895,โรงแรมวุฒิโชค น้ำโสม ที่พักไกล้วัดป่าภูก้อน ราคา 500฿
677,Codrington,AU,79.65,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
679,Eyl,SO,77.2,overcast clouds,7.9803,49.8164,Amiin Hotel
682,Vanimo,PG,83.14,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
687,Bac Lieu,VN,87.75,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
688,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
689,Manggar,ID,83.68,overcast clouds,-2.8833,108.2667,Guest Hotel
702,Salaga,GH,76.89,clear sky,8.5508,-0.5188,Bore Nada Guest House
708,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
715,Ciudad Ojeda,VE,76.64,scattered clouds,10.1964,-71.3082,Hotel América
